,type,header
160,BNS Total Return Equity Swap,FI Notional
161,BNS Total Return Equity Swap,FI PayLag Convention
162,BNS Total Return Equity Swap,FI Payment Dates
163,BNS Total Return Equity Swap,FI Payment Holiday
164,BNS Total Return Equity Swap,FI Period Dates
165,BNS Total Return Equity Swap,FI Principal Payment
166,BNS Total Return Equity Swap,FI Reset Arrears
167,BNS Total Return Equity Swap,FI Reset Dates
168,BNS Total Return Equity Swap,FI Reset Freq
169,BNS Total Return Equity Swap,FI Reset Holiday
170,BNS Total Return Equity Swap,FI Reset Lag
171,BNS Total Return Equity Swap,FI Resets
172,BNS Total Return Equity Swap,FI Spec IndexFreq
173,BNS Total Return Equity Swap,FI Spec IndexFreqUnit
174,BNS Total Return Equity Swap,FI Spec PayFreq
175,BNS Total Return Equity Swap,FI Spec PayFreqUnit
176,BNS Total Return Equity Swap,FI Spec ResetFreq
177,BNS Total Return Equity Swap,FI Spec ResetFreqUnit
178,BNS Total Return Equity Swap,FI Spread
179,BNS Total Return Equity Swap,FI Stub Mode
180,BNS Total Return Equity Swap,Counter Party
181,BNS Total Return Equity Swap,Credit Rating
182,BNS Total Return Equity Swap,Group ID
183,BNS Total Return Equity Swap,Booking Point
184,BNS Total Return Equity Swap,Asset Growth Rate
185,BNS Total Return Equity Swap,Discount Rate
186,BNS Total Return Equity Swap,*Theoretical Model
187,BNS Total Return Equity Swap,Reference Asset Type
188,BNS Total Return Equity Swap,Fixed Notional
189,BNS Total Return Equity Swap,FI Index Frequencies
190,BNS Total Return Equity Swap,Capital Add On
191,BNS Total Return Equity Swap,Notional Adjustments
192,BNS Total Return Equity Swap,Notional Adj Rate Resets
193,BNS Total Return Equity Swap,Notional Adj Asset Resets
194,BNS Total Return Equity Swap,Adjustable Basket
195,BNS Total Return Equity Swap,Dividend Cashflow
196,BNS Total Return Equity Swap,Asset Reset Holiday
197,BNS Total Return Equity Swap,Asset Payment Holiday
198,BNS Total Return Equity Swap,FI UpFront Fee
199,BNS Total Return Equity Swap,FI Bullet
200,BNS Total Return Equity Swap,FI Fees
201,BNS Total Return Equity Swap,Wrong Way
202,BNS Total Return Equity Swap,CSA Eligible
203,BNS Total Return Equity Swap,Trade Package ID
204,BNS Total Return Equity Swap,Placeholder
205,BNS Total Return Equity Swap,K2 Book
206,BNS Total Return Equity Swap,End Date
207,BNS Total Return Equity Swap,Underlying Type
208,BNS Total Return Equity Swap,Product Category
209,BNS Total Return Equity Swap,Include Notional
210,BNS Total Return Equity Swap,Product Type
211,BNS Total Return Equity Swap,Notional - Disclosure
212,BNS Total Return Equity Swap,Credit Matrix ID
213,BNS Total Return Equity Swap,Underlying Index Instrument
214,BNS Total Return Equity Swap,Use Underlying Index Instrument
215,BNS Swap,Name
216,BNS Swap,ID
217,BNS Swap,Currency
218,BNS Swap,Swap Notional
219,BNS Swap,Swap Rec Notional
220,BNS Swap,*Theoretical Model
221,BNS Swap,Issue Date
222,BNS Swap,Maturity Date
223,BNS Swap,Pay Fixed Flag
224,BNS Swap,Pay Frequency
225,BNS Swap,Pay Rate
226,BNS Swap,Pay Cash Flow
227,BNS Swap,Rec Fixed Flag
228,BNS Swap,Rec Frequency
229,BNS Swap,Rec Rate
230,BNS Swap,Rec Cash Flow
231,BNS Swap,Pay Lag
232,BNS Swap,Pay Reset Lag
233,BNS Swap,Rec Lag
234,BNS Swap,Rec Reset Lag
235,BNS Swap,Pay Fixed Rates
236,BNS Swap,Pay Resets
237,BNS Swap,Rec Fixed Rates
238,BNS Swap,Rec Resets
239,BNS Swap,Pay Upfront Fee
240,BNS Swap,Rec Upfront Fee
241,BNS Swap,Pay Compounding Method
242,BNS Swap,Rec Compounding Method
243,BNS Swap,Pay DateAdj Type
244,BNS Swap,Rec DateAdj Type
245,BNS Swap,Pay Date Adjust
246,BNS Swap,Rec Date Adjust
247,BNS Swap,Business Date Rule
248,BNS Swap,Group ID
249,BNS Swap,Pay Fees
250,BNS Swap,Rec Fees
251,BNS Swap,Swap Principal Exchange
252,BNS Swap,Pay Mode
253,BNS Swap,Rec Mode
254,BNS Swap,Pay Reset Arrears
255,BNS Swap,Rec Reset Arrears
256,BNS Swap,Pay Bullet
257,BNS Swap,Rec Bullet
258,BNS Swap,Counter Party
259,BNS Swap,Credit Rating
260,BNS Swap,Pay Principal Payment
261,BNS Swap,Rec Principal Payment
262,BNS Swap,Rec IDO
263,BNS Swap,Rec MDO
264,BNS Swap,Pay Payment Holiday
265,BNS Swap,Pay Reset Holiday
266,BNS Swap,Rec Payment Holiday
267,BNS Swap,Rec Reset Holiday
268,BNS Swap,Pay Applied Period Dates
269,BNS Swap,Pay Payment Dates
270,BNS Swap,Rec Applied Period Dates
271,BNS Swap,Rec Payment Dates
272,BNS Swap,Pay Spread
273,BNS Swap,Rec Spread
274,BNS Swap,Pay Day Type
275,BNS Swap,Rec Day Type
276,BNS Swap,Pay 1st Payment Date
277,BNS Swap,Pay 1st Roll Date
278,BNS Swap,Rec 1st Payment Date
279,BNS Swap,Rec 1st Roll Date
280,BNS Swap,Pay Fraction of Index
281,BNS Swap,Rec Fraction of Index
282,BNS Swap,Booking Point
283,BNS Swap,Pay Average
284,BNS Swap,Rec Average
285,BNS Swap,Pay Reset Freq
286,BNS Swap,Pay DayCount
287,BNS Swap,Rec Reset Freq
288,BNS Swap,Rec DayCount
289,BNS Swap,Pay Stub DayCount
290,BNS Swap,Rec Stub DayCount
291,BNS Swap,Pay PayLag Convention
292,BNS Swap,Rec PayLag Convention
293,BNS Swap,Spec Pay PayFreq
294,BNS Swap,Spec Pay PayFreqUnit
295,BNS Swap,Spec Rec PayFreq
296,BNS Swap,Spec Rec PayFreqUnit
297,BNS Swap,Spec Pay ResetFreq
298,BNS Swap,Spec Pay ResetFreqUnit
299,BNS Swap,Spec Rec ResetFreq
300,BNS Swap,Spec Rec ResetFreqUnit
301,BNS Swap,Spec Pay IndexFreq
302,BNS Swap,Spec Pay IndexFreqUnit
303,BNS Swap,Spec Rec IndexFreq
304,BNS Swap,Spec Rec IndexFreqUnit
305,BNS Swap,Pay Period Dates
306,BNS Swap,Rec Period Dates
307,BNS Swap,Pay Reset Dates
308,BNS Swap,Rec Reset Dates
309,BNS Swap,Pay Index Frequencies
310,BNS Swap,Rec Index Frequencies
311,BNS Swap,Pay Accrual StartDate
312,BNS Swap,Rec Accrual StartDate
313,BNS Swap,Mutual Puts
314,BNS Swap,American Mutual Puts
315,BNS Swap,Mandatory Put
316,BNS Swap,Pay Advance
317,BNS Swap,Rec Advance
318,BNS Swap,Pay Discount Curve
319,BNS Swap,Pay Forward Curve
320,BNS Swap,Rec Discount Curve
321,BNS Swap,Rec Forward Curve
322,BNS Swap,CSA Eligible
323,BNS Swap,Trade Package ID
324,BNS Swap,Placeholder
325,BNS Swap,Output Accounting Accrual
326,BNS Swap,K2 Book
327,BNS Swap,Include Notional
328,BNS Swap,Product Type
329,BNS Swap,Pay OIS Compound Rounding
330,BNS Swap,Rec OIS Compound Rounding
331,BNS Swap,Notional - Disclosure
332,BNS Swap,Product Category
333,BNS Currency Swap,Name
334,BNS Currency Swap,ID
335,BNS Currency Swap,Currency
336,BNS Currency Swap,Swap Pay Currency
337,BNS Currency Swap,Swap Pay Notional
338,BNS Currency Swap,Swap Rec Currency
339,BNS Currency Swap,Swap Rec Notional
340,BNS Currency Swap,*Theoretical Model
341,BNS Currency Swap,Reduced Add On Factor
342,BNS Currency Swap,FX Reset Trade
343,BNS Currency Swap,FX Reset
344,BNS Currency Swap,FX Rate Reset Dates
345,BNS Currency Swap,FX Rate Resets
346,BNS Currency Swap,FX Reset Holiday
347,BNS Currency Swap,FX Reset Lag
348,BNS Currency Swap,Swap Ref Notional
349,BNS Currency Swap,Issue Date
350,BNS Currency Swap,Maturity Date
351,BNS Currency Swap,Pay Fixed Flag
352,BNS Currency Swap,Pay Frequency
353,BNS Currency Swap,Pay Rate
354,BNS Currency Swap,Pay Cash Flow
355,BNS Currency Swap,Rec Fixed Flag
356,BNS Currency Swap,Rec Frequency
357,BNS Currency Swap,Rec Rate
358,BNS Currency Swap,Rec Cash Flow
359,BNS Currency Swap,Pay Lag
360,BNS Currency Swap,Pay Reset Lag
361,BNS Currency Swap,Rec Lag
362,BNS Currency Swap,Rec Reset Lag
363,BNS Currency Swap,Pay Fixed Rates
364,BNS Currency Swap,Pay Resets
365,BNS Currency Swap,Rec Fixed Rates
366,BNS Currency Swap,Rec Resets
367,BNS Currency Swap,Pay Upfront Fee
368,BNS Currency Swap,Rec Upfront Fee
369,BNS Currency Swap,Pay Compounding Method
370,BNS Currency Swap,Rec Compounding Method
371,BNS Currency Swap,Pay DateAdj Type
372,BNS Currency Swap,Rec DateAdj Type
373,BNS Currency Swap,Pay Date Adjust
374,BNS Currency Swap,Rec Date Adjust
375,BNS Currency Swap,Business Date Rule
376,BNS Currency Swap,Group ID
377,BNS Currency Swap,Pay Fees
378,BNS Currency Swap,Rec Fees
379,BNS Currency Swap,Swap Principal Exchange
380,BNS Currency Swap,Pay Mode
381,BNS Currency Swap,Rec Mode
382,BNS Currency Swap,Pay Reset Arrears
383,BNS Currency Swap,Rec Reset Arrears
384,BNS Currency Swap,Pay Bullet
385,BNS Currency Swap,Rec Bullet
386,BNS Currency Swap,Counter Party
387,BNS Currency Swap,Credit Rating
388,BNS Currency Swap,Pay Principal Payment
389,BNS Currency Swap,Rec Principal Payment
390,BNS Currency Swap,Rec IDO
391,BNS Currency Swap,Rec MDO
392,BNS Currency Swap,Pay Payment Holiday
393,BNS Currency Swap,Pay Reset Holiday
394,BNS Currency Swap,Rec Payment Holiday
395,BNS Currency Swap,Rec Reset Holiday
396,BNS Currency Swap,Pay Applied Period Dates
397,BNS Currency Swap,Pay Payment Dates
398,BNS Currency Swap,Rec Applied Period Dates
399,BNS Currency Swap,Rec Payment Dates
400,BNS Currency Swap,Pay Spread
401,BNS Currency Swap,Rec Spread
402,BNS Currency Swap,Pay Day Type
403,BNS Currency Swap,Rec Day Type
404,BNS Currency Swap,Pay 1st Payment Date
405,BNS Currency Swap,Pay 1st Roll Date
406,BNS Currency Swap,Rec 1st Payment Date
407,BNS Currency Swap,Rec 1st Roll Date
408,BNS Currency Swap,Pay Fraction of Index
409,BNS Currency Swap,Rec Fraction of Index
410,BNS Currency Swap,Booking Point
411,BNS Currency Swap,Pay Average
412,BNS Currency Swap,Rec Average
413,BNS Currency Swap,Pay Reset Freq
414,BNS Currency Swap,Pay DayCount
415,BNS Currency Swap,Rec Reset Freq
416,BNS Currency Swap,Rec DayCount
417,BNS Currency Swap,Pay Stub DayCount
418,BNS Currency Swap,Rec Stub DayCount
419,BNS Currency Swap,Pay PayLag Convention
420,BNS Currency Swap,Rec PayLag Convention
421,BNS Currency Swap,Spec Pay PayFreq
422,BNS Currency Swap,Spec Pay PayFreqUnit
423,BNS Currency Swap,Spec Rec PayFreq
424,BNS Currency Swap,Spec Rec PayFreqUnit
425,BNS Currency Swap,Spec Pay ResetFreq
426,BNS Currency Swap,Spec Pay ResetFreqUnit
427,BNS Currency Swap,Spec Rec ResetFreq
428,BNS Currency Swap,Spec Rec ResetFreqUnit
429,BNS Currency Swap,Spec Pay IndexFreq
430,BNS Currency Swap,Spec Pay IndexFreqUnit
431,BNS Currency Swap,Spec Rec IndexFreq
432,BNS Currency Swap,Spec Rec IndexFreqUnit
433,BNS Currency Swap,Pay Period Dates
434,BNS Currency Swap,Rec Period Dates
435,BNS Currency Swap,Pay Reset Dates
436,BNS Currency Swap,Rec Reset Dates
437,BNS Currency Swap,Pay Index Frequencies
438,BNS Currency Swap,Rec Index Frequencies
439,BNS Currency Swap,Pay Accrual StartDate
440,BNS Currency Swap,Rec Accrual StartDate
441,BNS Currency Swap,Mutual Puts
442,BNS Currency Swap,American Mutual Puts
443,BNS Currency Swap,Mandatory Put
444,BNS Currency Swap,Pay Advance
445,BNS Currency Swap,Rec Advance
446,BNS Currency Swap,Pay Discount Curve
447,BNS Currency Swap,Pay Forward Curve
448,BNS Currency Swap,Rec Discount Curve
449,BNS Currency Swap,Rec Forward Curve
450,BNS Currency Swap,CSA Eligible
451,BNS Currency Swap,Trade Package ID
452,BNS Currency Swap,Placeholder
453,BNS Currency Swap,Output Accounting Accrual
454,BNS Currency Swap,K2 Book
455,BNS Currency Swap,Include Notional
456,BNS Currency Swap,Product Type
457,BNS Currency Swap,Pay OIS Compound Rounding
458,BNS Currency Swap,Rec OIS Compound Rounding
459,BNS Currency Swap,Notional - Disclosure
460,BNS Currency Swap,Product Category
461,BNS Asset Option,Name
462,BNS Asset Option,ID
463,BNS Asset Option,Group ID
464,BNS Asset Option,Extended Right
465,BNS Asset Option,Buy
466,BNS Asset Option,Strike Level
467,BNS Asset Option,Strike Dates Schedule
468,BNS Asset Option,Expiry Dates Schedule
469,BNS Asset Option,Maturity Date
470,BNS Asset Option,Asset Notional
471,BNS Asset Option,Units
472,BNS Asset Option,Counter Party
473,BNS Asset Option,Credit Rating
474,BNS Asset Option,Underlying Instrument
475,BNS Asset Option,Spot Source
476,BNS Asset Option,Spot Price
477,BNS Asset Option,Asset Time Simulation Rate
478,BNS Asset Option,Asset Time Simulation Curve
479,BNS Asset Option,Discount Rate
480,BNS Asset Option,Discount Curve
481,BNS Asset Option,Dividend Rate
482,BNS Asset Option,Volatility
483,BNS Asset Option,Currency
484,BNS Asset Option,*Theoretical Model
485,BNS Asset Option,Type
486,BNS Asset Option,Booking Point
487,BNS Asset Option,Premium
488,BNS Asset Option,Settle At Open
489,BNS Asset Option,Early Exercise Right
490,BNS Asset Option,Asset Pay Lag
491,BNS Asset Option,CSA Eligible
492,BNS Asset Option,Foreign Exchange List
493,BNS Asset Option,Trade Package ID
494,BNS Asset Option,Placeholder
495,BNS Asset Option,K2 Book
496,BNS Asset Option,Product Category
497,BNS Asset Option,Dividend Protection
498,BNS Asset Option,Strategy
499,BNS Asset Option,Include Notional
500,BNS Asset Option,Product Type
501,BNS Asset Option,Notional - Disclosure
502,BNS Asset Option,Contract Dividend Amount
503,BNS Asset Option,Realized Dividends
504,BNS Asset Option,Stock Price Schedule
505,BNS Forex,Name
506,BNS Forex,ID
507,BNS Forex,Currency
508,BNS Forex,Issue Date
509,BNS Forex,Maturity Date
510,BNS Forex,Pay Discount Curve
511,BNS Forex,Pay Cashflows
512,BNS Forex,Pay Payment Dates
513,BNS Forex,Pay Payment Amounts
514,BNS Forex,Swap Pay Currency
515,BNS Forex,Rec Discount Curve
516,BNS Forex,Rec Cashflows
517,BNS Forex,Rec Payment Dates
518,BNS Forex,Rec Payment Amounts
519,BNS Forex,Swap Rec Currency
520,BNS Forex,*Theoretical Model
521,BNS Forex,Counter Party
522,BNS Forex,Group ID
523,BNS Forex,Booking Point
524,BNS Forex,Credit Rating
525,BNS Forex,CSA Eligible
526,BNS Forex,Trade Package ID
527,BNS Forex,Placeholder
528,BNS Forex,K2 Book
529,BNS Forex,Pay NDF Settlement Currency
530,BNS Forex,Pay NDF FX Reset Holiday
531,BNS Forex,Pay NDF FX Reset Lag
532,BNS Forex,Pay NDF Settlement Discount Curve
533,BNS Forex,Pay NDF FX Reset Dates
534,BNS Forex,Pay NDF FX Reset Rates
535,BNS Forex,Rec NDF Settlement Currency
536,BNS Forex,Rec NDF FX Reset Holiday
537,BNS Forex,Rec NDF FX Reset Lag
538,BNS Forex,Rec NDF Settlement Discount Curve
539,BNS Forex,Rec NDF FX Reset Dates
540,BNS Forex,Rec NDF FX Reset Rates
541,BNS Forex,Include Notional
542,BNS Forex,Product Type
543,BNS Forex,Notional - Disclosure
544,BNS Forex,Product Category
545,BNS Swap,Name
546,BNS Swap,ID
547,BNS Swap,Currency
548,BNS Swap,Swap Notional
549,BNS Swap,Swap Rec Notional
550,BNS Swap,*Theoretical Model
551,BNS Swap,Issue Date
552,BNS Swap,Maturity Date
553,BNS Swap,Pay Fixed Flag
554,BNS Swap,Pay Frequency
555,BNS Swap,Pay Rate
556,BNS Swap,Pay Cash Flow
557,BNS Swap,Rec Fixed Flag
558,BNS Swap,Rec Frequency
559,BNS Swap,Rec Rate
560,BNS Swap,Rec Cash Flow
561,BNS Swap,Pay Lag
562,BNS Swap,Pay Reset Lag
563,BNS Swap,Rec Lag
564,BNS Swap,Rec Reset Lag
565,BNS Swap,Pay Fixed Rates
566,BNS Swap,Pay Resets
567,BNS Swap,Rec Fixed Rates
568,BNS Swap,Rec Resets
569,BNS Swap,Pay Upfront Fee
570,BNS Swap,Rec Upfront Fee
571,BNS Swap,Pay Compounding Method
572,BNS Swap,Rec Compounding Method
573,BNS Swap,Pay DateAdj Type
574,BNS Swap,Rec DateAdj Type
575,BNS Swap,Pay Date Adjust
576,BNS Swap,Rec Date Adjust
577,BNS Swap,Business Date Rule
578,BNS Swap,Group ID
579,BNS Swap,Pay Fees
580,BNS Swap,Rec Fees
581,BNS Swap,Swap Principal Exchange
582,BNS Swap,Pay Mode
583,BNS Swap,Rec Mode
584,BNS Swap,Pay Reset Arrears
585,BNS Swap,Rec Reset Arrears
586,BNS Swap,Pay Bullet
587,BNS Swap,Rec Bullet
588,BNS Swap,Counter Party
589,BNS Swap,Credit Rating
590,BNS Swap,Pay Principal Payment
591,BNS Swap,Rec Principal Payment
592,BNS Swap,Rec IDO
593,BNS Swap,Rec MDO
594,BNS Swap,Pay Payment Holiday
595,BNS Swap,Pay Reset Holiday
596,BNS Swap,Rec Payment Holiday
597,BNS Swap,Rec Reset Holiday
598,BNS Swap,Pay Applied Period Dates
599,BNS Swap,Pay Payment Dates
600,BNS Swap,Rec Applied Period Dates
601,BNS Swap,Rec Payment Dates
602,BNS Swap,Pay Spread
603,BNS Swap,Rec Spread
604,BNS Swap,Pay Day Type
605,BNS Swap,Rec Day Type
606,BNS Swap,Pay 1st Payment Date
607,BNS Swap,Pay 1st Roll Date
608,BNS Swap,Rec 1st Payment Date
609,BNS Swap,Rec 1st Roll Date
610,BNS Swap,Pay Fraction of Index
611,BNS Swap,Rec Fraction of Index
612,BNS Swap,Booking Point
613,BNS Swap,Pay Average
614,BNS Swap,Rec Average
615,BNS Swap,Pay Reset Freq
616,BNS Swap,Pay DayCount
617,BNS Swap,Rec Reset Freq
618,BNS Swap,Rec DayCount
619,BNS Swap,Pay Stub DayCount
620,BNS Swap,Rec Stub DayCount
621,BNS Swap,Pay PayLag Convention
622,BNS Swap,Rec PayLag Convention
623,BNS Swap,Spec Pay PayFreq
624,BNS Swap,Spec Pay PayFreqUnit
625,BNS Swap,Spec Rec PayFreq
626,BNS Swap,Spec Rec PayFreqUnit
627,BNS Swap,Spec Pay ResetFreq
628,BNS Swap,Spec Pay ResetFreqUnit
629,BNS Swap,Spec Rec ResetFreq
630,BNS Swap,Spec Rec ResetFreqUnit
631,BNS Swap,Spec Pay IndexFreq
632,BNS Swap,Spec Pay IndexFreqUnit
633,BNS Swap,Spec Rec IndexFreq
634,BNS Swap,Spec Rec IndexFreqUnit
635,BNS Swap,Pay Period Dates
636,BNS Swap,Rec Period Dates
637,BNS Swap,Pay Reset Dates
638,BNS Swap,Rec Reset Dates
639,BNS Swap,Pay Index Frequencies
640,BNS Swap,Rec Index Frequencies
641,BNS Swap,Pay Accrual StartDate
642,BNS Swap,Rec Accrual StartDate
643,BNS Swap,Mutual Puts
644,BNS Swap,American Mutual Puts
645,BNS Swap,Mandatory Put
646,BNS Swap,Pay Advance
647,BNS Swap,Rec Advance
648,BNS Swap,Pay Discount Curve
649,BNS Swap,Pay Forward Curve
650,BNS Swap,Rec Discount Curve
651,BNS Swap,Rec Forward Curve
652,BNS Swap,CSA Eligible
653,BNS Swap,Trade Package ID
654,BNS Swap,Placeholder
655,BNS Swap,Output Accounting Accrual
656,BNS Swap,K2 Book
657,BNS Swap,Include Notional
658,BNS Swap,Product Type
659,BNS Swap,Pay OIS Compound Rounding
660,BNS Swap,Rec OIS Compound Rounding
661,BNS Swap,Notional - Disclosure
662,BNS Swap,Product Category
663,BNS Total Return Equity Swap,Name
664,BNS Total Return Equity Swap,ID
665,BNS Total Return Equity Swap,Underlying Instrument
666,BNS Total Return Equity Swap,Spot Source
667,BNS Total Return Equity Swap,Asset Notional
668,BNS Total Return Equity Swap,Units
669,BNS Total Return Equity Swap,Issue Date
670,BNS Total Return Equity Swap,Maturity Date
671,BNS Total Return Equity Swap,FI Rule
672,BNS Total Return Equity Swap,Gen Dates Based On FI
673,BNS Total Return Equity Swap,Asset Resets
674,BNS Total Return Equity Swap,Asset Return Dates
675,BNS Total Return Equity Swap,Asset Reset Dates
676,BNS Total Return Equity Swap,Grow Asset
677,BNS Total Return Equity Swap,Fixed or Float Payments
678,BNS Total Return Equity Swap,Rec Rate
679,BNS Total Return Equity Swap,Asset Growth Curve
680,BNS Total Return Equity Swap,Discount Curve
681,BNS Total Return Equity Swap,Dividend Rate
682,BNS Total Return Equity Swap,Dividend Schedule
683,BNS Total Return Equity Swap,Dividend Curve
684,BNS Total Return Equity Swap,Currency
685,BNS Total Return Equity Swap,Buy
686,BNS Total Return Equity Swap,Asset Date Adjustment
687,BNS Total Return Equity Swap,Asset Day Type
688,BNS Total Return Equity Swap,Asset First Roll Date
689,BNS Total Return Equity Swap,Asset Reset Freq
690,BNS Total Return Equity Swap,Asset Offset
691,BNS Total Return Equity Swap,Asset StubMode
692,BNS Total Return Equity Swap,FI 1st Payment Date
693,BNS Total Return Equity Swap,FI 1st Roll Date
