Column Name,RW Map Rule,CTR Map Rule,RW Alias
Name,right7,right7,
*Theoretical Model,,add_colon,
Buy,,,
FI Discount Curve,,add_colon,
FI Reset Freq,,,
FI Value Only,,,
Maturity Date,,,
Trading,,,
Underlying Instrument,,,
Units,,,
Booking Point,,,
Repo,,,
FI Forward Curve,,,
