Column Name,RW Map Rule,CTR Map Rule,RW Alias
Name,,ctr_to_var_name,
Buy,,change_flag,
Average Frequency,,average_frequency,
Special IndexFreqUnit,,special_frequency,
Special PayFreqUnit,,special_frequency,
Cap Frequency,,cap_frequency,
ID,,ctr_id_changer,
Daycount Basis,,ctr_daycount_changer,
Index DayCount,,ctr_daycount_changer,
Index Freq,,cap_frequency,
