Column Name,RW Map Rule,CTR Map Rule,RW Alias
Name,WSS_VAR_right19_if_rec,WSS_remove_CTR_prefix_and_add_Rec,
*Theoretical Model,,,
Buy,,,
FI Discount Curve,,,
FI Reset Freq,,,
FI Value Only,,,
Maturity Date,,,
Trading,,,
Underlying Instrument,,,
Units,,,
Booking Point,,,
Repo,,,
FI Forward Curve,,,
